X,Y,OBJECTID,Id,CaseNumber,OccurredDate,OccurredMonth,OccurredYear,DateOfDeath,DateOfDeathMonth,DateOfDeathYear,DateDifference,CaseStatus,Address,Latitude,Longitude,Section,Beat,WeaponCategory,VictimCount,ArresteeCount
-77.629913780473927,43.142962572428502,160,76,01-416841,2001-11-30T05:00:00.000Z,11,2001,2001-11-30T05:00:00.000Z,11,2001,0,CLOSED,"160 BARTLETT ST, ROCHESTER, NY, 14611",43.142954,-77.629911,Genesee,233,Firearm,1,1
-77.649671787006412,43.146056572212409,159,77,01-418963,2001-12-02T05:00:00.000Z,12,2001,2001-12-02T05:00:00.000Z,12,2001,0,CLOSED,"484 CHILI AVE, ROCHESTER, NY, 14611",43.146048,-77.649669,Genesee,203,Other,1,1
-77.604318774319637,43.180129579947611,158,78,01-420201,2001-12-03T05:00:00.000Z,12,2001,2001-12-03T05:00:00.000Z,12,2001,0,CLOSED,"118 EIFFEL PL, ROCHESTER, NY, 14621",43.180121,-77.604316,Clinton,257,Unknown,1,1
-77.654690788189967,43.143127571165216,157,79,01-430275,2001-12-12T05:00:00.000Z,12,2001,2001-12-12T05:00:00.000Z,12,2001,0,CLOSED,"130 DEVONSHIRE CT, ROCHESTER, NY, 14619",43.143119,-77.654688,Genesee,223,Knife/Cutting Instrument,1,3
-77.58869376928287,43.175599579786883,156,80,01-447637,2001-12-29T05:00:00.000Z,12,2001,2001-12-29T05:00:00.000Z,12,2001,0,OPEN,"1260 CLIFFORD AVE, ROCHESTER, NY, 14621",43.175591,-77.588691,Clinton,267,Firearm,1,
-77.610545777697851,43.183925580730858,155,81,02-001433,2002-01-02T05:00:00.000Z,1,2002,2002-01-02T05:00:00.000Z,1,2002,0,CLOSED,"16 WEAVER ST, ROCHESTER, NY, 14621",43.183917,-77.610543,Clinton,217,Firearm,1,3
-77.653777787901106,43.142927571838321,154,82,02-027823,2002-01-16T05:00:00.000Z,1,2002,2002-01-16T05:00:00.000Z,1,2002,0,CLOSED,"80 TURNER ST, ROCHESTER, NY, 14619",43.142919,-77.653775,Genesee,223,Firearm,1,2
-77.629202781819231,43.165653577049341,153,83,02-033479,2002-01-30T05:00:00.000Z,1,2002,2002-01-30T05:00:00.000Z,1,2002,0,CLOSED,"115 AMBROSE ST, ROCHESTER, NY, 14608",43.165645,-77.6292,Lake,271,Firearm,1,1
-77.641795782392904,43.123473568950772,152,84,02-035959,2002-02-02T05:00:00.000Z,2,2002,2002-02-02T05:00:00.000Z,2,2002,0,CLOSED,"1395 GENESEE ST, ROCHESTER, NY, 14611",43.123465,-77.641793,Genesee,243,Knife/Cutting Instrument,1,1
-77.634316783411535,43.171140577495443,151,85,02-046263,2002-02-11T05:00:00.000Z,2,2002,2002-02-11T05:00:00.000Z,2,2002,0,OPEN,"1 EDGERTON PARK, ROCHESTER, NY, 14613",43.171132,-77.634314,Lake,271,Unknown,1,
